_link,_link_cand,_link_main,pos,desc_lis_c,img_lis_c,voti,perc
3.cand.8.liste.5,3.cand.8,3,6,LIGURI A TESTA ALTA ORLANDO PRESIDENTE,7-20241027000000-6-034.png,0,0
4.cand.0.liste.0,4.cand.0,4,8,INDIPENDENZA! ALEMANNO PER ROSSON,7-20241027000000-8-034.png,0,0
4.cand.1.liste.0,4.cand.1,4,18,FORZA DEL POPOLO,7-20241027000000-18-034.png,0,0
4.cand.2.liste.0,4.cand.2,4,9,DEMOCRAZIA SOVRANA POPOLARE,7-20241027000000-9-034.png,0,0
4.cand.3.liste.0,4.cand.3,4,20,PARTITO COMUNISTA DEI LAVORATORI,7-20241027000000-20-034.png,0,0
4.cand.4.liste.0,4.cand.4,4,7,PER L'ALTERNATIVA - POTERE AL POPOLO! - PCI - RIFONDAZIONE PARTITO COMUNISTA SINISTRA EUROPEA,7-20241027000000-7-034.png,0,0
4.cand.5.liste.0,4.cand.5,4,19,PARTITO POPOLARE DEL NORD AUTONOMIA E LIBERTA',7-20241027000000-19-034.png,0,0
4.cand.6.liste.0,4.cand.6,4,12,UNITI PER LA COSTITUZIONE,7-20241027000000-12-034.png,0,0
4.cand.7.liste.0,4.cand.7,4,3,ORGOGLIO LIGURIA BUCCI PRESIDENTE,7-20241027000000-3-034.png,0,0
4.cand.7.liste.1,4.cand.7,4,1,BUCCI PRESIDENTE VINCE LIGURIA,7-20241027000000-1-034.png,0,0
4.cand.7.liste.2,4.cand.7,4,14,LEGA LIGURIA BUCCI PRESIDENTE,7-20241027000000-14-034.png,0,0
4.cand.7.liste.3,4.cand.7,4,13,BUCCI LIBERTAS UDC,7-20241027000000-13-034.png,0,0
4.cand.7.liste.4,4.cand.7,4,2,GIORGIA MELONI PER BUCCI PRESIDENTE FRATELLI D'ITALIA,7-20241027000000-2-034.png,0,0
4.cand.7.liste.5,4.cand.7,4,10,ALTERNATIVA POPOLARE CON BANDECCHI PER BUCCI PPE,7-20241027000000-10-034.png,0,0
4.cand.7.liste.6,4.cand.7,4,15,FORZA ITALIA BERLUSCONI BUCCI PRESIDENTE PPE,7-20241027000000-15-034.png,0,0
4.cand.8.liste.0,4.cand.8,4,17,PATTO CIVICO E RIFORMISTA PER ORLANDO - AZIONE CON CALENDA - PRI - REPUBBLICANI EUROPEI - PER - ALLEANZA CIVICA LIGURIA,7-20241027000000-17-034.png,0,0
4.cand.8.liste.1,4.cand.8,4,16,ALLEANZA VERDI E SINISTRA - LISTA SANSA - POSSIBILE - EUROPA VERDE - SINISTRA ITALIANA,7-20241027000000-16-034.png,0,0
4.cand.8.liste.2,4.cand.8,4,11,LISTA ANDREA ORLANDO PRESIDENTE,7-20241027000000-11-034.png,0,0
4.cand.8.liste.3,4.cand.8,4,5,PARTITO DEMOCRATICO ANDREA ORLANDO PRESIDENTE,7-20241027000000-5-034.png,0,0
4.cand.8.liste.4,4.cand.8,4,4,MOVIMENTO 5 STELLE 2050,7-20241027000000-4-034.png,0,0
4.cand.8.liste.5,4.cand.8,4,6,LIGURI A TESTA ALTA ORLANDO PRESIDENTE,7-20241027000000-6-034.png,0,0
5.cand.0.liste.0,5.cand.0,5,8,INDIPENDENZA! ALEMANNO PER ROSSON,7-20241027000000-8-034.png,0,0
5.cand.1.liste.0,5.cand.1,5,18,FORZA DEL POPOLO,7-20241027000000-18-034.png,0,0
5.cand.2.liste.0,5.cand.2,5,9,DEMOCRAZIA SOVRANA POPOLARE,7-20241027000000-9-034.png,0,0
5.cand.3.liste.0,5.cand.3,5,20,PARTITO COMUNISTA DEI LAVORATORI,7-20241027000000-20-034.png,0,0
5.cand.4.liste.0,5.cand.4,5,7,PER L'ALTERNATIVA - POTERE AL POPOLO! - PCI - RIFONDAZIONE PARTITO COMUNISTA SINISTRA EUROPEA,7-20241027000000-7-034.png,0,0
